Model,SAE,lm_loss,lm_loss_se,e2e_loss,e2e_loss_se,recon_l2,recon_l2_se,sparsity_l1,sparsity_l1_se,lm_acc,lm_acc_se,e2e_acc,e2e_acc_se,r2,r2_se,ss_res,ss_res_se,ss_tot,ss_tot_se
base,base,1.280049640525471,0.02046697902195047,2.4382458917444403,0.016530788804099875,0.052797474116086957,0.0011006341680500447,0.009749472424387931,2.5067348995949045e-05,0.6575692975095984,0.004251915468242019,0.4636097482888214,0.0025830326046556674,0.7658876101537184,0.0012434049046253716,327424.9543693182,6936.34526047851,1363907.4214545453,19294.71301620346
base,base_e2e,1.280049640525471,0.02046697902195047,1.5230298792232166,0.016126486544222128,0.39877093256603585,0.0017901366654548077,0.00536445334485986,3.2985525485593483e-06,0.6575692975095984,0.004251915468242019,0.6049795146963745,0.003255841229404591,0.472430982763117,0.0008520817652997486,723566.4126136363,11346.61709156709,1363907.4214545453,19294.71301620346
adv,adv,1.2342774926532398,0.017364716884859355,3.0307178509452126,0.01442479611798357,0.22182600065794858,0.0003716527503261793,0.010597607571970332,2.4481797689204917e-05,0.6613385150809311,0.0038757585388158144,0.3896797636022234,0.0019810040832553928,0.7078988159136339,0.00150503219009598,452451.5302272727,9390.47489443777,1512590.304409091,20929.43712665977
adv,post_adv,1.2342774926532398,0.017364716884859355,3.477281369642778,0.014227232571571387,0.24291758346557618,0.00034836913368683386,0.011607145559381355,3.18493189158162e-05,0.6613385150809311,0.0038757585388158144,0.3429973572469791,0.0014440790931681332,0.6622825142687018,0.0016108481899160232,522143.3559659091,10565.719565482354,1512590.304409091,20929.43712665977
adv,post_adv_e2e,1.2342774926532398,0.017364716884859355,1.5124751897291704,0.015600968568038567,0.7169943607937206,0.005499819496989218,0.007555446797473864,1.9246531280212266e-05,0.6613385150809311,0.0038757585388158144,0.6069295764668521,0.0031689608186699406,0.5078605323054574,0.0009297845055731233,750752.1590681818,12238.929264069144,1512590.304409091,20929.43712665977
